,title,author,URL,descriptiveness,wordiness,difficulty,dialogue-heavy
0,A Man Like Him,Yiyun Li,https://www.newyorker.com/magazine/2008/05/12/a-man-like-him,0,7,6,3
1,A Rich Man,Edward P. Jones,https://www.newyorker.com/magazine/2003/08/04/a-rich-man,1,9,1,8
2,An Anonymous Island,Yi Mun-yol,https://www.newyorker.com/magazine/2011/09/12/an-anonymous-island,5,3,6,4
3,Another Life,Paul La Farge,https://www.newyorker.com/magazine/2012/07/02/another-life-2,1,2,3,1
4,Are We Not Men?,T. Coraghessan Boyle,https://www.newyorker.com/magazine/2016/11/07/are-we-not-men,3,7,4,7
5,Ash,Roddy Doyle,https://www.newyorker.com/magazine/2010/05/24/ash,3,0,0,0
6,Brother on Sunday,A. M. Homes,https://www.newyorker.com/magazine/2009/03/02/brother-on-sunday,5,3,1,9
7,Bull,Mo Yan,https://www.newyorker.com/magazine/2012/11/26/bull-2,3,7,3,4
8,Chance,Alice Munro,https://www.newyorker.com/magazine/2004/06/14/chance,4,9,2,9
9,Clara,Roberto Bolaño,https://www.newyorker.com/magazine/2008/08/04/clara-roberto-bolano,2,2,4,1
10,Corrie,Alice Munro,https://www.newyorker.com/magazine/2010/10/11/corrie,3,5,2,7
11,Delicate Wives,John Updike,https://www.newyorker.com/magazine/2004/02/02/delicate-wives,9,1,8,4
12,Find the Bad Guy,Jeffrey Eugenides,https://www.newyorker.com/magazine/2013/11/18/find-the-bad-guy,7,8,1,9
13,La Ragazza,Andrea Lee,https://www.newyorker.com/magazine/2004/02/16/la-ragazza,9,9,9,5
14,Leaving Maverley,Alice Munro,https://www.newyorker.com/magazine/2011/11/28/leaving-maverley,0,7,3,5
15,Married Love,Tessa Hadley,https://www.newyorker.com/magazine/2007/10/08/married-love-2,9,4,7,8
16,Old Faithful,David Sedaris,https://www.newyorker.com/magazine/2004/11/29/old-faithful,6,1,4,4
17,Outage,John Updike,https://www.newyorker.com/magazine/2008/01/07/outage,7,1,8,5
18,Soldier’s Joy,Antonya Nelson,https://www.newyorker.com/magazine/2009/01/19/soldiers-joy,7,6,7,7
19,The Bell Ringer,John Burnside,https://www.newyorker.com/magazine/2008/03/17/the-bell-ringer,3,5,3,3
20,The Cheater’s Guide to Love,Junot Díaz,https://www.newyorker.com/magazine/2012/07/23/the-cheaters-guide-to-love,2,9,1,1
21,The Fragments,Joshua Ferris,https://www.newyorker.com/magazine/2013/04/29/the-fragments,2,1,0,8
22,The Full Glass,John Updike,https://www.newyorker.com/magazine/2008/05/26/the-full-glass,9,4,8,2
23,The Joke,Roddy Doyle,https://www.newyorker.com/magazine/2004/11/29/the-joke-2,1,0,0,0
24,The Judge’s Will,Ruth Prawer Jhabvala,https://www.newyorker.com/magazine/2013/03/25/the-judges-will,4,5,5,6
25,The Musical Brain,César Aira,https://www.newyorker.com/magazine/2011/12/05/the-musical-brain,6,7,9,2
26,Victory,Yu Hua,https://www.newyorker.com/magazine/2013/08/26/victory-7,0,4,2,6
27,A Death in Kitchawank,T. Coraghessan Boyle,https://www.newyorker.com/magazine/2010/01/18/a-death-in-kitchawank,5,9,4,5
28,Apple Cake,Allegra Goodman,https://www.newyorker.com/magazine/2014/07/07/apple-cake,3,6,5,9
29,Aspic,Tatyana Tolstaya,https://www.newyorker.com/magazine/2016/01/25/aspic-fiction-tatyana-tolstaya,9,0,4,0
30,Back the Way You Went,Anne Carson,https://www.newyorker.com/magazine/2016/10/31/back-the-way-you-went,4,0,4,1
31,Bad Dreams,Tessa Hadley,https://www.newyorker.com/magazine/2013/09/23/bad-dreams-3,4,2,7,1
32,Chicxulub,T. Coraghessan Boyle,https://www.newyorker.com/magazine/2004/03/01/chicxulub,6,2,6,4
33,Daisy,Chang-rae Lee,https://www.newyorker.com/magazine/2004/01/12/daisy,7,9,4,7
34,In the South,Salman Rushdie,https://www.newyorker.com/magazine/2009/05/18/in-the-south,8,4,7,4
35,Julia And Byron,Craig Raine,https://www.newyorker.com/magazine/2009/03/30/julia-and-byron,8,0,9,2
36,Ladies’ Lunch,Lore Segal,https://www.newyorker.com/magazine/2017/02/27/ladies-lunch-lore-segal,2,1,1,8
37,Last Night,James Salter,https://www.newyorker.com/magazine/2002/11/18/last-night-2,3,1,2,0
38,Long Ago Yesterday,Hanif Kureishi,https://www.newyorker.com/magazine/2004/03/08/long-ago-yesterday,4,2,4,5
39,Madame Lazarus,Maile Meloy,https://www.newyorker.com/magazine/2014/06/23/madame-lazarus,2,3,0,2
40,Mrs. Crasthorpe,William Trevor,https://www.newyorker.com/magazine/2018/02/26/mrs-crasthorpe,5,4,8,5
41,Musa,Kamel Daoud,https://www.newyorker.com/magazine/2015/04/06/musa,7,7,7,1
42,My Life Is a Joke,Sheila Heti,https://www.newyorker.com/magazine/2015/05/11/my-life-is-a-joke,5,0,1,1
43,One Minus One,Colm Toibin,https://www.newyorker.com/magazine/2007/05/07/one-minus-one,0,4,0,2
44,Reverend,Tim Parks,https://www.newyorker.com/magazine/2014/12/08/reverend,2,6,7,2
45,Save a Horse Ride a Cowgirl,Ann Beattie,https://www.newyorker.com/magazine/2015/11/23/save-a-horse-ride-a-cowgirl,5,7,6,5
46,Stuff,Joy Williams,https://www.newyorker.com/magazine/2016/07/25/stuff-by-joy-williams,7,2,9,7
47,Sun City,Caitlin Horrocks,https://www.newyorker.com/magazine/2011/10/24/sun-city,4,5,3,8
48,The Apologizer,Milan Kundera,https://www.newyorker.com/magazine/2015/05/04/the-apologizer,5,2,5,3
49,The Beach Boy,Ottessa Moshfegh,https://www.newyorker.com/magazine/2016/01/04/the-beach-boy,5,8,4,7
50,The Color of Shadows,Colm Toibin,https://www.newyorker.com/magazine/2009/04/13/the-color-of-shadows,0,8,0,9
51,The Edge of the Shoal,Cynan Jones,https://www.newyorker.com/magazine/2016/10/17/the-edge-of-the-shoal,3,5,0,0
52,The Hanging of the Schoolmarm,Robert Coover,https://www.newyorker.com/magazine/2016/11/28/the-hanging-of-the-schoolmarm,1,0,8,2
53,The Republic of Empathy,Sam Lipsyte,https://www.newyorker.com/magazine/2012/06/04/the-republic-of-empathy,8,3,6,9
54,The Visitor,Marisa Silver,https://www.newyorker.com/magazine/2007/12/03/the-visitor-7,2,6,5,6
55,Thirteen Hundred Rats,T. Coraghessan Boyle,https://www.newyorker.com/magazine/2008/07/07/thirteen-hundred-rats,1,5,5,4
56,Total Solar,Luke Mogelson,https://www.newyorker.com/magazine/2016/02/29/total-solar,1,3,8,3
57,You Are Happy?,Akhil Sharma,https://www.newyorker.com/magazine/2017/04/17/you-are-happy,1,3,7,3
58,The Secret Goldfish,David Means,https://www.newyorker.com/magazine/2004/05/31/the-secret-goldfish,9,2,8,1
59,The Use of Poetry,Ian McEwan,https://www.newyorker.com/magazine/2009/12/07/the-use-of-poetry,6,4,8,2
60,The Yellow,Samantha Hunt,https://www.newyorker.com/magazine/2010/11/29/the-yellow,5,1,5,5
61,An Inch And a Half of Glory,Dashiell Hammett,https://www.newyorker.com/magazine/2013/06/10/an-inch-and-a-half-of-glory,4,2,6,3
62,Aphrodisiac,Ruth Prawer Jhabvala,https://www.newyorker.com/magazine/2011/07/11/aphrodisiac,5,5,6,7
63,Apollo,Chimamanda Ngozi Adichie,https://www.newyorker.com/magazine/2015/04/13/apollo,0,2,3,6
64,Bad Dreams,Tessa Hadley,https://www.newyorker.com/magazine/2013/09/23/bad-dreams-3,4,2,7,1
65,Bohemians,George Saunders,https://www.newyorker.com/magazine/2004/01/19/bohemians,3,1,4,6
66,Buttony,Fiona McFarlane,https://www.newyorker.com/magazine/2016/03/07/buttony,0,0,2,2
67,Chicken Hill,Joy Williams,https://www.newyorker.com/magazine/2015/09/14/chicken-hill,6,1,7,5
68,Choking Victim,Alexandra Kleeman,https://www.newyorker.com/magazine/2016/05/02/choking-victim-by-alexandra-kleeman,8,6,5,5
69,Christie,Caitlin Macy,https://www.newyorker.com/magazine/2003/03/10/christie,7,3,9,3
70,Cold Little Bird,Ben Marcus,https://www.newyorker.com/magazine/2015/10/19/cold-little-bird,3,8,2,9
71,Creatures,Marisa Silver,https://www.newyorker.com/magazine/2012/12/17/creatures,2,7,6,8
72,Dogs Go Wolf,Lauren Groff,https://www.newyorker.com/magazine/2017/08/28/dogs-go-wolf,6,5,0,0
73,Eykelboom,Brad Watson,https://www.newyorker.com/magazine/2014/11/24/eykelboom,4,8,5,0
74,Fable,Charles Yu,https://www.newyorker.com/magazine/2016/05/30/fable-by-charles-yu,1,5,1,0
75,Foster,Claire Keegan,https://www.newyorker.com/magazine/2010/02/15/foster,4,9,0,9
76,Funny Little Snake,Tessa Hadley,https://www.newyorker.com/magazine/2017/10/16/funny-little-snake,8,8,6,7
77,Meet the President!,Zadie Smith,https://www.newyorker.com/magazine/2013/08/12/meet-the-president,8,3,6,6
78,Mother’s Day,George Saunders,https://www.newyorker.com/magazine/2016/02/08/mothers-day-fiction-george-saunders,8,8,2,4
79,Signal,John Lanchester,https://www.newyorker.com/magazine/2017/04/03/signal-john-lanchester,8,7,5,6
80,The Abandonment,Joshua Ferris,https://www.newyorker.com/magazine/2016/08/01/the-abandonment-by-joshua-ferris,6,6,1,9
81,The Casserole,Thomas McGuane,https://www.newyorker.com/magazine/2012/09/10/the-casserole,4,0,4,2
82,The Driver,Thomas McGuane,https://www.newyorker.com/magazine/2015/09/28/the-driver-fiction-thomas-mcguane,6,0,4,4
83,The High Divide,Charles D'Ambrosio,https://www.newyorker.com/magazine/2003/02/03/the-high-divide,1,6,0,0
84,The Knocking,David Means,https://www.newyorker.com/magazine/2010/03/15/the-knocking,9,0,9,0
85,The Third-Born,Mohsin Hamid,https://www.newyorker.com/magazine/2012/09/24/the-third-born,8,3,8,3
86,To the Moon and Back,Etgar Keret,https://www.newyorker.com/magazine/2016/10/03/to-the-moon-and-back,1,1,1,7
87,Upside-Down Cake,Paul Theroux,https://www.newyorker.com/magazine/2016/06/27/upside-down-cake-by-paul-theroux,7,3,7,9
88,We Didn’t Like Him,Akhil Sharma,https://www.newyorker.com/magazine/2013/06/03/we-didnt-like-him,2,4,2,2
89,Who Will Greet You at Home,Lesley Nneka Arimah,https://www.newyorker.com/magazine/2015/10/26/who-will-greet-you-at-home,7,5,1,3
90,A Life of Adventure and Delight,Akhil Sharma,https://www.newyorker.com/magazine/2016/05/16/a-life-of-adventure-and-delight-by-akhil-sharma,2,3,3,4
91,A Mistake,Akhil Sharma,https://www.newyorker.com/magazine/2014/01/20/a-mistake,0,5,3,4
92,A Sheltered Woman,Yiyun Li,https://www.newyorker.com/magazine/2014/03/10/a-sheltered-woman,3,5,2,7
93,An Honest Exit,Dinaw Mengestu,https://www.newyorker.com/magazine/2010/07/12/an-honest-exit,4,8,2,6
94,Assimilation,E. L. Doctorow,https://www.newyorker.com/magazine/2010/11/22/assimilation,1,6,3,0
95,Broccoli,Lara Vapnyar,https://www.newyorker.com/magazine/2004/01/05/broccoli,9,2,8,4
96,Brotherly Love,Jhumpa Lahiri,https://www.newyorker.com/magazine/2013/06/10/brotherly-love-2,0,9,7,1
97,Checking Out,Chimamanda Ngozi Adichie,https://www.newyorker.com/magazine/2013/03/18/checking-out,6,8,5,8
98,East Wind,Julian Barnes,https://www.newyorker.com/magazine/2008/05/19/east-wind,7,4,2,7
99,Everything Is Far from Here,Cristina Henríquez,https://www.newyorker.com/magazine/2017/07/24/everything-is-far-from-here,2,1,1,5
100,Foreign-Returned,Sadia Shepard,https://www.newyorker.com/magazine/2018/01/08/foreign-returned,5,9,5,8
101,Freight,Henry Roth,https://www.newyorker.com/magazine/2006/09/25/freight,8,8,7,8
102,Katania,Lara Vapnyar,https://www.newyorker.com/magazine/2013/10/14/katania,4,6,3,6
103,Lenny Hearts Eunice,Gary Shteyngart,https://www.newyorker.com/magazine/2010/06/14/lenny-hearts-eunice,9,9,8,8
104,Literally,Antonya Nelson,https://www.newyorker.com/magazine/2012/12/03/literally,8,4,9,7
105,No More Maybe,Gish Jen,https://www.newyorker.com/magazine/2018/03/19/no-more-maybe,7,4,2,8
106,Of Windows and Doors,Mohsin Hamid,https://www.newyorker.com/magazine/2016/11/14/of-windows-and-doors,0,4,6,1
107,Oktober,Martin Amis,https://www.newyorker.com/magazine/2015/12/07/oktober,9,7,9,8
108,Pumpkin Head,Joyce Carol Oates,https://www.newyorker.com/magazine/2009/01/12/pumpkin-head,9,5,9,4
109,Second Lives,Daniel Alarcón,https://www.newyorker.com/magazine/2010/08/16/second-lives-2,7,8,9,3
110,Symbols and Signs,Vladimir Nabokov,https://www.newyorker.com/magazine/1948/05/15/symbols-and-signs,9,0,8,2
111,Szmura’s Room,Aleksandar Hemon,https://www.newyorker.com/magazine/2004/06/14/szmuras-room,6,6,9,6
112,The Boundary,Jhumpa Lahiri,https://www.newyorker.com/magazine/2018/01/29/the-boundary,2,1,1,0
113,The Fugitive,T. Coraghessan Boyle,https://www.newyorker.com/magazine/2016/07/04/the-fugitive-by-t-coraghessan-boyle,0,7,3,3
114,The Gray Goose,Jonathan Lethem,https://www.newyorker.com/magazine/2013/05/06/the-gray-goose,6,8,9,6
115,The Intermediate Class,Sam Allingham,https://www.newyorker.com/magazine/2018/04/02/the-intermediate-class,8,7,5,9
116,The Last Words on Earth,Nicole Krauss,https://www.newyorker.com/magazine/2004/02/09/the-last-words-on-earth,0,9,0,9
117,Wildwood,Junot Díaz,https://www.newyorker.com/magazine/2007/06/11/wildwood,1,9,0,1
